RK,NAME,TEAM,SALARY
423,"Nigel Williams-Goss, PG",Utah Jazz,"$1,500,000"
424,"Isaiah Roby, SF",Oklahoma City Thunder,"$1,500,000"
425,"Alfonzo McKinnie, SF",Cleveland Cavaliers,"$1,500,000"
426,"Shake Milton, SG",Philadelphia 76ers,"$1,455,697"
427,"Wenyen Gabriel, PF",Sacramento Kings,"$1,445,697"
428,"Theo Pinson, SG",Brooklyn Nets,"$1,445,697"
429,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,445,697"
430,"Derrick Walton Jr., G",LA Clippers,"$1,445,697"
431,"Brad Wanamaker, PG",Boston Celtics,"$1,445,697"
432,"Iman Shumpert, SG",Brooklyn Nets,"$1,419,138"
433,"Devonte' Graham, PG",Charlotte Hornets,"$1,416,852"
434,"De'Anthony Melton, SG",Memphis Grizzlies,"$1,416,852"
435,"Jemerrio Jones, F",Milwaukee Bucks,"$1,416,852"
436,"Hamidou Diallo, SG",Oklahoma City Thunder,"$1,416,852"
437,"Deonte Burton, SG",Oklahoma City Thunder,"$1,416,852"
438,"Chimezie Metu, PF",San Antonio Spurs,"$1,416,852"
439,"Gary Trent Jr., SG",Portland Trail Blazers,"$1,416,852"
440,"Elie Okobo, SF",Phoenix Suns,"$1,416,852"
441,"Jevon Carter, PG",Phoenix Suns,"$1,416,852"
442,"Melvin Frazier Jr., SG",Orlando Magic,"$1,416,852"
443,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$1,416,852"
444,"Duncan Robinson, SG",Miami Heat,"$1,416,852"
445,"Kendrick Nunn, SG",Miami Heat,"$1,416,852"
446,"Alize Johnson, PF",Indiana Pacers,"$1,416,852"
447,"Isaiah Hartenstein, C",Houston Rockets,"$1,416,852"
448,"Bruce Brown, SG",Detroit Pistons,"$1,416,852"
449,"Khyri Thomas, SG",Detroit Pistons,"$1,416,852"
450,"Sviatoslav Mykhailiuk, SG",Detroit Pistons,"$1,416,852"
451,"Keita Bates-Diop, SF",Minnesota Timberwolves,"$1,416,852"
452,"Jalen Brunson, PG",Dallas Mavericks,"$1,416,852"
453,"Ryan Broekhoff, SG",Dallas Mavericks,"$1,416,852"
454,"Kenrich Williams, SF",New Orleans Pelicans,"$1,416,852"
455,"Dairis Bertans, G",New Orleans Pelicans,"$1,416,852"
456,"Yante Maten, F",Boston Celtics,"$1,416,852"
457,"Isaac Bonga, SF",Washington Wizards,"$1,416,842"
458,"Tarik Phillip, G",Washington Wizards,"$1,416,842"
459,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,400,000"
460,"Bruno Fernando, C",Atlanta Hawks,"$1,400,000"
461,"Dakari Johnson, C",null Unknown,"$1,378,242"
462,"Kyle Collinsworth, G",Utah Jazz,"$1,378,242"
463,"Brandon Paul, G",San Antonio Spurs,"$1,378,242"
464,"Jaylen Morris, G",Milwaukee Bucks,"$1,378,242"
465,"Rodney Purvis, G",Miami Heat,"$1,378,242"
466,"David Stockton, G",Los Angeles Lakers,"$1,378,242"
467,"Ike Anigbogu, C",Indiana Pacers,"$1,378,242"
468,"Zhou Qi, C",Houston Rockets,"$1,378,242"
469,"Aaron Jackson, F",Houston Rockets,"$1,378,242"
470,"Carmelo Anthony, PF",Portland Trail Blazers,"$1,364,204"
471,"Jabari Bird, G",Atlanta Hawks,"$1,349,464"
472,"Ben Moore, F",San Antonio Spurs,"$1,349,383"
473,"James Nunnally, G",Shanghai Sharks,"$1,349,383"
474,"Kevin Porter Jr., SG",Cleveland Cavaliers,"$1,290,960"
475,"Carsen Edwards, PG",Boston Celtics,"$1,228,026"
476,"Okaro White, F",Washington Wizards,"$1,187,862"
477,"Cody Martin, SF",Charlotte Hornets,"$1,173,310"
478,"Gary Payton II, PG",Washington Wizards,"$1,052,909"
479,"Nick Young, G",Denver Nuggets,"$1,042,584"
480,"Admiral Schofield, SG",Washington Wizards,"$1,000,000"
